-----------------------------------SYSTEM PARAMETERS---------------------------------
   System geometry:                                         film
   Domain in Angstroms:                                 100.0000 Angstrom
   Domain discretization:                                 0.5000 Angstrom
   Nodes across the domain:                                  200 nodes
   Temperature:                                         500.0000 K
   Pressure:                                              0.0000 atm
----------------------------------POLYMER PROPERTIES---------------------------------
   Monomer mass:                                        100.0000 g/mol
   Mass density:                                          1.0000 g/cm^3
--------------------------------SIMULATION PARAMETERS--------------------------------
   Output thermodynamics every:                              100           steps
   Output computes every:                                   1000 steps
   Field will be initialized to zero            
   Field error tolerance:                                 0.0000 J/k_BT
   Field mixing fraction:                            0.010000000
   Edwards solver                                       implicit
   *Linear solver not set.. we will use tridag..
   Maximum iterations:                                     40000 iterations
   Andersen_after_iter:                                     2000 andersen_after_iter
   Spacing for chain contour discret:                    uniform
   Spacing for spatial discret:                          uniform
   Chain contour integration rule:                  Simpson rule
   Spatial integration rule:                      Recrangle rule
-------------------------------------mxa CHAINS-----------------------------------   
   chain kind:                                                 1
   Chain contour discretization:                 0.500000000E+00 monomers
   Chain length:                                    50.000000000 monomers
   Chain characteristic ratio C_infinity:                10.0000
   Bond length:                                           1.0000 Angstrom
-------------------------------------mxb CHAINS-----------------------------------   
   chain kind:                                                 2
   Chain contour discretization:                 0.500000000E+00 monomers
   Chain length:                                    50.000000000 monomers
   Chain characteristic ratio C_infinity:                10.0000
   Bond length:                                           1.0000 Angstrom
------------------------------------ BULK CHAINS ------------------------------------
   Chain length (auto):                             50.000000000 monomers
---------------------------------BOUNDARY CONDITIONS---------------------------------
   mxa boundary condition for lo edge:                 Dirichlet q=1
   mxa boundary condition for hi edge:                 Dirichlet q=0
   mxb boundary condition for lo edge:                 Dirichlet q=0
   mxb boundary condition for hi edge:                 Dirichlet q=1
------------------------------SETUP THE EQUATION OF STATE----------------------------
   The incompressible model was chosen:         
   Flory chi parameter :                                  1.0000
------------------------------------SETUP THE WALLS----------------------------------
   Wall type:                                             vacuum
   *Side of the solid wall not detected..       
                  ..it will be set to both sides
   *Hard sphere wall position not found. Auto:            0.0000 Angstrom
-----------------------------INITIALIZE THE SCF PARAMETERS---------------------------
   mxa radious of gyration:                               9.1287 Angstrom
   mxa nodes along chain contour:                            100 nodes
   mxb radious of gyration:                               9.1287 Angstrom
   mxb nodes along chain contour:                            100 nodes
   molar density in bulk                              10000.0000 mol/m3
---------------------------------BEGIN THE SIMULATION--------------------------------
        Iteration    energy (mN/m)    error (k_B T)         gdens_lo         gdens_hi            nch_m          nch_mxb          nch_glo          nch_ghi         fraction
             5200    0.8356028E+01    0.1011461E-04    0.0000000E+00    0.0000000E+00    0.6052256E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             5300    0.8356036E+01    0.8838582E-05    0.0000000E+00    0.0000000E+00    0.6052245E-02    0.6052250E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             5400    0.8356029E+01    0.7121628E-05    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052256E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             5500    0.8356031E+01    0.6196344E-05    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             5600    0.8356031E+01    0.5040881E-05    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             5700    0.8356032E+01    0.4353134E-05    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052250E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             5800    0.8356030E+01    0.3758051E-05    0.0000000E+00    0.0000000E+00    0.6052253E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             5900    0.8356031E+01    0.3514244E-05    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             6000    0.8356028E+01    0.3872045E-05    0.0000000E+00    0.0000000E+00    0.6052254E-02    0.6052253E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             6100    0.8356029E+01    0.2821741E-05    0.0000000E+00    0.0000000E+00    0.6052253E-02    0.6052253E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             6200    0.8356033E+01    0.3148201E-05    0.0000000E+00    0.0000000E+00    0.6052245E-02    0.6052255E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             6300    0.8356031E+01    0.4397599E-05    0.0000000E+00    0.0000000E+00    0.6052253E-02    0.6052250E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             6400    0.8356030E+01    0.1880975E-05    0.0000000E+00    0.0000000E+00    0.6052253E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             6500    0.8356031E+01    0.8049629E-06    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052251E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             6600    0.8356031E+01    0.6486022E-06    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             6700    0.8356031E+01    0.5681511E-06    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             6800    0.8356031E+01    0.5352868E-06    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             6900    0.8356031E+01    0.4786301E-06    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052251E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             7000    0.8356031E+01    0.3892247E-06    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             7100    0.8356031E+01    0.3281164E-06    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             7200    0.8356031E+01    0.2680162E-06    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             7300    0.8356031E+01    0.2420166E-06    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             7400    0.8356031E+01    0.2185015E-06    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             7500    0.8356031E+01    0.2018723E-06    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             7600    0.8356031E+01    0.1874617E-06    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             7700    0.8356031E+01    0.1618554E-06    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             7800    0.8356031E+01    0.1501954E-06    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             7900    0.8356031E+01    0.1291757E-06    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             8000    0.8356031E+01    0.1114278E-06    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             8100    0.8356031E+01    0.9638252E-07    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             8200    0.8356031E+01    0.8534738E-07    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             8300    0.8356031E+01    0.7293017E-07    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             8400    0.8356031E+01    0.6371772E-07    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             8500    0.8356031E+01    0.5177163E-07    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             8600    0.8356031E+01    0.4532287E-07    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             8700    0.8356031E+01    0.3944278E-07    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             8800    0.8356031E+01    0.3230616E-07    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             8900    0.8356031E+01    0.2660260E-07    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             9000    0.8356031E+01    0.2125536E-07    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             9100    0.8356031E+01    0.1812195E-07    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             9200    0.8356031E+01    0.1739589E-07    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             9300    0.8356031E+01    0.1591815E-07    0.0000000E+00    0.0000000E+00    0.6052251E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             9400    0.8356031E+01    0.1366518E-07    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             9500    0.8356031E+01    0.1210512E-07    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             9600    0.8356031E+01    0.1088151E-07    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             9700    0.8356031E+01    0.9619790E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             9800    0.8356031E+01    0.8650643E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
             9900    0.8356031E+01    0.7408255E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            10000    0.8356031E+01    0.7427432E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            10100    0.8356031E+01    0.6744037E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            10200    0.8356031E+01    0.6290581E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            10300    0.8356031E+01    0.5664881E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            10400    0.8356031E+01    0.5169735E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            10500    0.8356031E+01    0.4337435E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            10600    0.8356031E+01    0.4104976E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            10700    0.8356031E+01    0.3784665E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            10800    0.8356031E+01    0.3374543E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            10900    0.8356031E+01    0.2876719E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            11000    0.8356031E+01    0.7078432E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            11100    0.8356031E+01    0.2557288E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            11200    0.8356031E+01    0.2767334E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            11300    0.8356031E+01    0.2089266E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            11400    0.8356031E+01    0.1998213E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            11500    0.8356031E+01    0.1830383E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            11600    0.8356031E+01    0.1678156E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            11700    0.8356031E+01    0.1489268E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            11800    0.8356031E+01    0.1307657E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            11900    0.8356031E+01    0.1227407E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            12000    0.8356031E+01    0.1101425E-08    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            12100    0.8356031E+01    0.9448112E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            12200    0.8356031E+01    0.7967624E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            12300    0.8356031E+01    0.7438441E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            12400    0.8356031E+01    0.6826828E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            12500    0.8356031E+01    0.4826524E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            12600    0.8356031E+01    0.4259995E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            12700    0.8356031E+01    0.3339462E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            12800    0.8356031E+01    0.2861541E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            12900    0.8356031E+01    0.7040362E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            13000    0.8356031E+01    0.3531835E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            13100    0.8356031E+01    0.2257946E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            13200    0.8356031E+01    0.2090686E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            13300    0.8356031E+01    0.1943684E-09    0.0000000E+00    0.0000000E+00    0.6052252E-02    0.6052252E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
