-----------------------------------SYSTEM PARAMETERS---------------------------------
   System geometry:                                         film
   Domain in Angstroms:                                 250.0000 Angstrom
   Domain discretization:                                 0.5000 Angstrom
   Nodes across the domain:                                  500 nodes
   Temperature:                                         443.0000 K
   Pressure:                                              0.0000 atm
----------------------------------POLYMER PROPERTIES---------------------------------
   Monomer mass:                                        301.2391 g/mol
   Mass density:                                          0.9903 g/cm^3
--------------------------------SIMULATION PARAMETERS--------------------------------
   Output thermodynamics every:                             1000           steps
   Output computes every:                                   5000 steps
   Field will be initialized to zero            
   Field error tolerance:                                 0.0000 J/k_BT
   Field mixing fraction:                            0.010000000
   Field andersen fraction:                          0.010000000
   Edwards solver                                       implicit
   *Linear solver not set.. we will use tridag..
   Maximum iterations:                                  10000000 iterations
   Andersen_after_iter:                                     1000 andersen_after_iter
   Spacing for chain contour discret:                    uniform
   Spacing for spatial discret:                          uniform
   Chain contour integration rule:                  Simpson rule
   Spatial integration rule:                        Simpson rule
-------------------------------------mxa CHAINS-----------------------------------   
   chain kind:                                                 1
   Chain contour discretization:                 0.500000000E+01 monomers
   Chain length:                                   339.000000000 monomers
   Chain characteristic ratio C_infinity:                 2.2965
   Bond length:                                           7.9640 Angstrom
-------------------------------------mxb CHAINS-----------------------------------   
   chain kind:                                                 2
   Chain contour discretization:                 0.500000000E+01 monomers
   Chain length:                                   315.000000000 monomers
   Chain characteristic ratio C_infinity:                 1.7883
   Bond length:                                           7.9640 Angstrom
------------------------------------ BULK CHAINS ------------------------------------
   Chain length (auto):                            339.000000000 monomers
---------------------------------BOUNDARY CONDITIONS---------------------------------
   mxa boundary condition for lo edge:                 Dirichlet q=0
   mxa boundary condition for hi edge:                 Dirichlet q=     1.000000000
   mxb boundary condition for lo edge:                 Dirichlet q=     1.000000000
   mxb boundary condition for hi edge:                 Dirichlet q=0
   Critical lo position of adsorbed segs             0.000000000 Angstrom
   Critical hi position of adsorbed segs             0.000000000 Angstrom
------------------------------SETUP THE EQUATION OF STATE----------------------------
   The incompressible model was chosen:         
   Flory chi parameter :                             0.041610000
------------------------------------SETUP THE WALLS----------------------------------
   Wall type:                                             vacuum
   Side of the solid wall:                             lo and hi
   *Hard sphere wall position not found. Auto:            0.0000 Angstrom
   fh_nr:                                                      5
-----------------------------INITIALIZE THE SCF PARAMETERS---------------------------
   mxa radious of gyration:                              90.7167 Angstrom
   mxa nodes along chain contour:                             68 nodes
   mxb radious of gyration:                              77.1668 Angstrom
   mxb nodes along chain contour:                             64 nodes
   molar density in bulk                               3287.4216 mol/m3
---------------------------------BEGIN THE SIMULATION--------------------------------
        Iteration    energy (mN/m)    error (k_B T)         gdens_lo         gdens_hi            nch_m          nch_mxb          nch_glo          nch_ghi         fraction
            60000    0.1578367E+01    0.1092302E-03    0.0000000E+00    0.0000000E+00    0.6187613E-03    0.9053395E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            61000    0.1578480E+01    0.1082051E-03    0.0000000E+00    0.0000000E+00    0.6184919E-03    0.9056196E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            62000    0.1579057E+01    0.1050117E-03    0.0000000E+00    0.0000000E+00    0.6174734E-03    0.9073968E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            63000    0.1577959E+01    0.1169609E-03    0.0000000E+00    0.0000000E+00    0.6140203E-03    0.9103452E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            64000    0.1577845E+01    0.1133766E-03    0.0000000E+00    0.0000000E+00    0.6124983E-03    0.9122072E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            65000    0.1577604E+01    0.1090082E-03    0.0000000E+00    0.0000000E+00    0.6110853E-03    0.9136205E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            66000    0.1576810E+01    0.1082999E-03    0.0000000E+00    0.0000000E+00    0.6052199E-03    0.9199275E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            67000    0.1575931E+01    0.9951881E-04    0.0000000E+00    0.0000000E+00    0.6001371E-03    0.9253314E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            68000    0.1575635E+01    0.9603336E-04    0.0000000E+00    0.0000000E+00    0.5966444E-03    0.9291913E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            69000    0.1574791E+01    0.9674517E-04    0.0000000E+00    0.0000000E+00    0.5901844E-03    0.9359937E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            70000    0.1574421E+01    0.1001192E-03    0.0000000E+00    0.0000000E+00    0.5856659E-03    0.9407448E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            71000    0.1573888E+01    0.9900771E-04    0.0000000E+00    0.0000000E+00    0.5830460E-03    0.9436375E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            72000    0.1573660E+01    0.1029915E-03    0.0000000E+00    0.0000000E+00    0.5797474E-03    0.9472190E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            73000    0.1573262E+01    0.1015027E-03    0.0000000E+00    0.0000000E+00    0.5775740E-03    0.9496935E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            74000    0.1573242E+01    0.9983209E-04    0.0000000E+00    0.0000000E+00    0.5772264E-03    0.9500096E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            75000    0.1572472E+01    0.9566335E-04    0.0000000E+00    0.0000000E+00    0.5735885E-03    0.9539365E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            76000    0.1572407E+01    0.9982343E-04    0.0000000E+00    0.0000000E+00    0.5720088E-03    0.9556587E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            77000    0.1571756E+01    0.9062728E-04    0.0000000E+00    0.0000000E+00    0.5697116E-03    0.9580497E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            78000    0.1571945E+01    0.9355883E-04    0.0000000E+00    0.0000000E+00    0.5696066E-03    0.9581983E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            79000    0.1571557E+01    0.9007911E-04    0.0000000E+00    0.0000000E+00    0.5681081E-03    0.9598395E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            80000    0.1571400E+01    0.9108325E-04    0.0000000E+00    0.0000000E+00    0.5671571E-03    0.9607636E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            81000    0.1571415E+01    0.8916895E-04    0.0000000E+00    0.0000000E+00    0.5668275E-03    0.9611355E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            82000    0.1571090E+01    0.8935178E-04    0.0000000E+00    0.0000000E+00    0.5641465E-03    0.9640564E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            83000    0.1570284E+01    0.7968116E-04    0.0000000E+00    0.0000000E+00    0.5593140E-03    0.9694127E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            84000    0.1569622E+01    0.8108774E-04    0.0000000E+00    0.0000000E+00    0.5545665E-03    0.9743385E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            85000    0.1569057E+01    0.8072450E-04    0.0000000E+00    0.0000000E+00    0.5511169E-03    0.9779963E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            86000    0.1568091E+01    0.7024467E-04    0.0000000E+00    0.0000000E+00    0.5461384E-03    0.9834647E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            87000    0.1567315E+01    0.6888043E-04    0.0000000E+00    0.0000000E+00    0.5398366E-03    0.9903637E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            88000    0.1565889E+01    0.5783760E-04    0.0000000E+00    0.0000000E+00    0.5342963E-03    0.9961876E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            89000    0.1565921E+01    0.6171224E-04    0.0000000E+00    0.0000000E+00    0.5344281E-03    0.9961220E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            90000    0.1565973E+01    0.6180560E-04    0.0000000E+00    0.0000000E+00    0.5332779E-03    0.9973896E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            91000    0.1565645E+01    0.6159371E-04    0.0000000E+00    0.0000000E+00    0.5315389E-03    0.9993784E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            92000    0.1565309E+01    0.5658039E-04    0.0000000E+00    0.0000000E+00    0.5312140E-03    0.9997357E-03    0.0000000E+00    0.0000000E+00    0.1000000E-01
            93000    0.1565061E+01    0.6186673E-04    0.0000000E+00    0.0000000E+00    0.5290962E-03    0.1001929E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            94000    0.1564038E+01    0.5706056E-04    0.0000000E+00    0.0000000E+00    0.5244943E-03    0.1006783E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            95000    0.1564015E+01    0.5713682E-04    0.0000000E+00    0.0000000E+00    0.5241264E-03    0.1007230E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            96000    0.1563526E+01    0.5587658E-04    0.0000000E+00    0.0000000E+00    0.5206842E-03    0.1010857E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            97000    0.1562799E+01    0.5205894E-04    0.0000000E+00    0.0000000E+00    0.5171580E-03    0.1014746E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            98000    0.1561574E+01    0.3975199E-04    0.0000000E+00    0.0000000E+00    0.5111948E-03    0.1021070E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
            99000    0.1559516E+01    0.2558289E-04    0.0000000E+00    0.0000000E+00    0.5020341E-03    0.1030958E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           100000    0.1558779E+01    0.1955447E-04    0.0000000E+00    0.0000000E+00    0.4995500E-03    0.1033606E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           101000    0.1558944E+01    0.1734571E-04    0.0000000E+00    0.0000000E+00    0.5000658E-03    0.1033045E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           102000    0.1558538E+01    0.1580561E-04    0.0000000E+00    0.0000000E+00    0.4985624E-03    0.1034691E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           103000    0.1558469E+01    0.1462567E-04    0.0000000E+00    0.0000000E+00    0.4983028E-03    0.1034941E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           104000    0.1558179E+01    0.8047639E-05    0.0000000E+00    0.0000000E+00    0.4969505E-03    0.1036406E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           105000    0.1558321E+01    0.7818905E-05    0.0000000E+00    0.0000000E+00    0.4976928E-03    0.1035599E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           106000    0.1558320E+01    0.7175351E-05    0.0000000E+00    0.0000000E+00    0.4975350E-03    0.1035774E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           107000    0.1558312E+01    0.6455242E-05    0.0000000E+00    0.0000000E+00    0.4976530E-03    0.1035654E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           108000    0.1558231E+01    0.5593838E-05    0.0000000E+00    0.0000000E+00    0.4972005E-03    0.1036132E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           109000    0.1558297E+01    0.4738669E-05    0.0000000E+00    0.0000000E+00    0.4975004E-03    0.1035807E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           110000    0.1558216E+01    0.4183225E-05    0.0000000E+00    0.0000000E+00    0.4971280E-03    0.1036210E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           111000    0.1558157E+01    0.4215840E-05    0.0000000E+00    0.0000000E+00    0.4968972E-03    0.1036464E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           112000    0.1558162E+01    0.4222484E-05    0.0000000E+00    0.0000000E+00    0.4969196E-03    0.1036438E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           113000    0.1558206E+01    0.3566943E-05    0.0000000E+00    0.0000000E+00    0.4970492E-03    0.1036300E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           114000    0.1558208E+01    0.3585262E-05    0.0000000E+00    0.0000000E+00    0.4970976E-03    0.1036244E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           115000    0.1558272E+01    0.3131263E-05    0.0000000E+00    0.0000000E+00    0.4973975E-03    0.1035923E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           116000    0.1558270E+01    0.2956673E-05    0.0000000E+00    0.0000000E+00    0.4973523E-03    0.1035971E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           117000    0.1558292E+01    0.2798255E-05    0.0000000E+00    0.0000000E+00    0.4974613E-03    0.1035854E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           118000    0.1558287E+01    0.2798649E-05    0.0000000E+00    0.0000000E+00    0.4974499E-03    0.1035866E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           119000    0.1558287E+01    0.2830581E-05    0.0000000E+00    0.0000000E+00    0.4974469E-03    0.1035868E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           120000    0.1558289E+01    0.2758162E-05    0.0000000E+00    0.0000000E+00    0.4974621E-03    0.1035852E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           121000    0.1558291E+01    0.2730332E-05    0.0000000E+00    0.0000000E+00    0.4974619E-03    0.1035852E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           122000    0.1558289E+01    0.2737989E-05    0.0000000E+00    0.0000000E+00    0.4974519E-03    0.1035863E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           123000    0.1558288E+01    0.2745956E-05    0.0000000E+00    0.0000000E+00    0.4974474E-03    0.1035868E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           124000    0.1558285E+01    0.2759230E-05    0.0000000E+00    0.0000000E+00    0.4974380E-03    0.1035878E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           125000    0.1558285E+01    0.2757396E-05    0.0000000E+00    0.0000000E+00    0.4974354E-03    0.1035881E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           126000    0.1558248E+01    0.2575245E-05    0.0000000E+00    0.0000000E+00    0.4972686E-03    0.1036060E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           127000    0.1558250E+01    0.2457115E-05    0.0000000E+00    0.0000000E+00    0.4972850E-03    0.1036043E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           128000    0.1558254E+01    0.2126815E-05    0.0000000E+00    0.0000000E+00    0.4972935E-03    0.1036033E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           129000    0.1558252E+01    0.2116015E-05    0.0000000E+00    0.0000000E+00    0.4972879E-03    0.1036039E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           130000    0.1558253E+01    0.2121729E-05    0.0000000E+00    0.0000000E+00    0.4972928E-03    0.1036034E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           131000    0.1558254E+01    0.2073833E-05    0.0000000E+00    0.0000000E+00    0.4972966E-03    0.1036030E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
